website,mode,monitoring_delay,product_link,email,password,name,surname,prefix,phone,address_line_1,address_line_2,city,state,zipcode,country_iso
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-scarlatto-e-violetto-151-collezione-ultra-premium/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/collezione-con-poster-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-scarlatto-e-violetto-151-collezione-ultra-premium/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-scarlatto-e-violetto-151-collezione-ultra-premium/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-scarlatto-e-violetto-151-collezione-ultra-premium/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/collezione-con-poster-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-scarlatto-e-violetto-151-collezione-ultra-premium/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-scarlatto-e-violetto-151-collezione-ultra-premium/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-scarlatto-e-violetto-151-collezione-ultra-premium/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
toyscenter,guest,2,https://www.toyscenter.it/prodotto/pokemon-confezione-di-buste-dellespansione-scarlatto-e-violetto-evoluzioni-prismatiche/,random@41032domainname.it,,**,Benatti,+39,NN,** via Manzoni 13,**,Cavezzo,Modena,41032,IT
